...1,date,audience,creative_family,creative_version,platform,ad_format,campaign_traffic,total_sessions,total_bounces,total_duration,days_away,latest_report
0,2022-08-16,NA,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,73,76,0
1,2022-06-16,3,CloseFaster,NoDTI,Facebook,Single image,Campaign,1,0,0,137,0
2,2022-08-29,1,CloseFaster,MoreAll,User ID Display,NA,Campaign,2,0,0,63,0
3,2022-06-09,4,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,2,0,50,144,0
4,2022-08-03,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0,89,0
5,2022-08-23,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,3,0,0,69,0
6,2022-06-14,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,2,0,0,139,0
7,2022-09-05,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,2,0,0,56,0
8,2022-08-30,NA,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,2,0,0,62,0
9,2022-06-15,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,5,0,184,138,0
10,2022-05-05,NA,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,105,179,0
11,2022-04-30,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0,184,0
12,2022-09-27,4,UnfairAdvantage,one_page,Domain Display,NA,Campaign,2,0,0,34,0
13,2022-10-13,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0,18,0
14,2022-05-31,6,Trade Media Ads,ROS5,Trade Media,Housingwire,Campaign,4,0,1403,153,0
15,2022-09-09,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0,52,0
16,2022-05-03,NA,UnfairAdvantage,one_page,Domain Display,NA,Campaign,1,0,0,181,0
17,2022-09-25,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,8,0,0,36,0
18,2022-07-02,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,3,0,0,121,0
19,2022-06-04,4,UnfairAdvantage,one_page,Domain Display,NA,Campaign,1,0,0,149,0
20,2022-07-23,4,CloserTwins,Competitors,Domain Display,NA,Campaign,NA,0,0,100,0
21,2022-08-21,1,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,71,0
22,2022-06-17,2,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,136,0
23,2022-07-30,5,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,1,0,0,93,0
24,2022-05-24,1,CloserTwins,Namaste,Facebook,Video,Campaign,2,0,0,160,0
25,2022-06-30,4,UnfairAdvantage,1099,Domain Display,Single image,Campaign,8,0,7,123,0
26,2022-09-09,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,17,0,0,52,0
27,2022-07-03,5,CloserTwins,interactive,Domain Display,NA,Campaign,1,1,0,120,0
28,2022-07-12,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,19,0,36.9999999999999,111,0
29,2022-04-16,6,CloserTwins,OTT_15,OTT,Video,Campaign,1,0,0,198,0
30,2022-04-29,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,1,0,0,185,0
31,2022-05-31,4,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0,153,0
32,2022-05-20,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,4,0,50,164,0
33,2022-05-24,2,UnfairAdvantage,one_page,Facebook,Single image,Campaign,1,0,0,160,0
34,2022-05-09,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,5,0,0,175,0
35,2022-05-28,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,1,0,155,156,0
36,2022-07-24,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0,99,0
37,2022-08-13,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,8,0,0,79,0
38,2022-06-11,1,CloserTwins,Cutdown1A,Facebook,Video,Campaign,1,0,0,142,0
39,2022-06-20,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,90,0,12846.9999999999,133,0
40,2022-09-17,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,6,44,0
41,2022-09-05,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,2,0,0,56,0
42,2022-09-01,4,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,60,0
45,2022-06-25,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0,128,0
46,2022-05-03,2,CloserTwins,EarlyBird,Facebook,Single image,Campaign,1,0,0,181,0
47,2022-07-13,4,UnfairAdvantage,one_page,Domain Display,NA,Campaign,3,0,0,110,0
48,2022-07-20,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0,103,0
49,2022-07-21,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,4,0,0,102,0
50,2022-08-08,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,84,0
51,2022-08-26,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,6,0,0,66,0
52,2022-05-30,1,CloserTwins,Paperwork,Facebook,Video,Campaign,2,0,0,154,0
53,2022-07-02,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,6,0,0,121,0
54,2022-05-26,6,Trade Media Ads,300x250,Trade Media,National_mortgage_news,Campaign,1,0,0,158,0
55,2022-08-15,4,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,77,0
56,2022-10-14,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,15,0,0,17,0
57,2022-08-04,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,7,0,0,88,0
58,2022-07-10,2,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0,113,0
59,2022-07-30,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,4,0,0,93,0
60,2022-10-06,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,11,0,0,25,0
61,2022-05-25,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0,159,0
62,2022-06-03,3,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0,150,0
63,2022-09-12,3,CloseFaster,MoreAll,User ID Display,NA,Campaign,13,0,0,49,0
64,2022-09-04,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,0,57,0
65,2022-08-02,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,90,0
66,2022-09-23,5,UnfairAdvantage,one_page,Domain Display,NA,Campaign,7,0,0,38,0
67,2022-06-20,1,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0,133,0
68,2022-10-04,4,UnfairAdvantage,one_page,User ID Display,NA,Campaign,40,0,0,27,0
69,2022-05-17,4,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,167,0
70,2022-09-21,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,1,0,129,40,0
71,2022-07-30,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0,93,0
72,2022-06-22,3,CloserTwins,Paperwork,Facebook,Video,Campaign,1,0,0,131,0
73,2022-05-26,4,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0,158,0
74,2022-04-22,NA,(not set),NA,NA,NA,General traffic,1757,5,140327.999999999,192,0
75,2022-10-17,1,UnfairAdvantage,one_page,User ID Display,NA,Campaign,13,0,0,14,0
76,2022-04-25,1,CloserTwins,Faceoff1,Facebook,Video,Campaign,2,0,0,189,0
77,2022-05-20,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0,164,0
78,2022-04-25,3,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,5,189,0
79,2022-06-02,6,Trade Media Ads,ROS5,Trade Media,Housingwire,Campaign,2,0,0,151,0
80,2022-10-16,4,UnfairAdvantage,NoDTI,User ID Display,NA,Campaign,8,0,0.999999999999996,15,0
81,2022-04-28,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,186,0
82,2022-08-11,1,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0,81,0
83,2022-06-11,5,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0,142,0
84,2022-07-22,4,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0,101,0
85,2022-08-17,3,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,75,0
86,2022-05-08,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,3,0,0,176,0
87,2022-08-10,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,6,0,1.99999999999999,82,0
88,2022-09-08,5,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0,53,0
89,2022-08-15,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,10,0,0,77,0
90,2022-07-30,1,CloseFaster,FasterAll,User ID Display,NA,Campaign,10,0,0,93,0
91,2022-10-11,4,UnfairAdvantage,one_page,User ID Display,NA,Campaign,127,0,0,20,0
92,2022-09-13,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,4,0,216,48,0
93,2022-10-12,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,4,0,0,19,0
94,2022-05-02,2,CloserTwins,EarlyBird,Facebook,Single image,Campaign,2,0,0,182,0
95,2022-05-14,2,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0,170,0
96,2022-06-29,1,CloseFaster,MoreAll,Domain Display,NA,Campaign,1,0,0,124,0
97,2022-04-22,4,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,2,0,0,192,0
98,2022-10-30,5,UnfairAdvantage,one_page,Domain Display,NA,Campaign,66,0,6862.99999999997,1,1
99,2022-10-29,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,62,0,3546.99999999999,2,1
100,2022-06-08,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,4,0,292,145,0
101,2022-09-24,4,UnfairAdvantage,1099,User ID Display,NA,Campaign,13,0,0,37,0
102,2022-07-26,5,CloseFaster,FasterReg,User ID Display,NA,Campaign,1,1,0,97,0
103,2022-10-17,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,6,0,0,14,0
104,2022-06-13,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,12,0,0,140,0
105,2022-06-03,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,3,0,63.9999999999999,150,0
106,2022-05-11,4,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,5,0,0,173,0
107,2022-09-11,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,4,0,0,50,0
108,2022-09-02,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,3,0,80,59,0
109,2022-10-10,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,21,0
110,2022-07-17,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,2,0,0,106,0
111,2022-07-30,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,7,0,0,93,0
113,2022-07-30,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0,93,0
114,2022-07-13,5,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,4,0,66,110,0
115,2022-10-03,4,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0,28,0
116,2022-10-19,NA,UnfairAdvantage,1099,User ID Display,NA,Campaign,2,0,0,12,1
117,2022-10-31,5,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,13,0,0,0,1
118,2022-05-08,5,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0,176,0
119,2022-07-16,3,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0,107,0
120,2022-06-23,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,0,130,0
121,2022-10-09,3,CloseFaster,FasterAll,User ID Display,NA,Campaign,12,0,0,22,0
122,2022-10-19,4,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0,12,1
123,2022-05-25,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0,159,0
124,2022-08-28,4,CloseFaster,FasterAll,User ID Display,NA,Campaign,1,0,0,64,0
125,2022-05-05,3,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,179,0
126,2022-09-30,4,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,1,0,0,31,0
127,2022-08-19,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,3,0,0,73,0
128,2022-06-26,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,5,0,235,127,0
129,2022-08-30,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,3,0,0,62,0
130,2022-10-04,NA,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,2,27,0
131,2022-06-12,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,1,0,0,141,0
132,2022-10-12,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,5,0,0,19,0
133,2022-10-02,1,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0,29,0
134,2022-10-04,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,1,0,0,27,0
135,2022-05-04,2,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,1,0,0,180,0
136,2022-09-23,1,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0,38,0
137,2022-04-30,1,CloserTwins,Faceoff1,Facebook,Video,Campaign,2,0,0,184,0
138,2022-04-18,1,CloseFaster,3steps,LinkedIn,Single image,Campaign,1,0,0,196,0
139,2022-05-13,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,127,0,15326,171,0
140,2022-06-20,6,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Campaign,6,0,1076,133,0
141,2022-09-28,4,CloserTwins,Competitors,Domain Display,NA,Campaign,1,0,0,33,0
142,2022-10-24,3,CloseFaster,FasterAll,User ID Display,NA,Campaign,14,0,0,7,1
143,2022-08-28,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,8,0,52,64,0
144,2022-09-17,2,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,12,0,0,44,0
145,2022-05-07,4,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,1,0,1,177,0
146,2022-09-09,NA,CloseFaster,MoreAll,User ID Display,NA,Campaign,34,0,0,52,0
147,2022-10-05,3,CloseFaster,FasterAll,User ID Display,NA,Campaign,17,0,2205.99999999998,26,0
148,2022-06-03,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,3,0,43.9999999999998,150,0
149,2022-06-24,6,SEM Ads,Close More. Close Faster.,Google SEM,CPC,Campaign,7,0,1998,129,0
150,2022-07-23,4,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,3,0,0,100,0
151,2022-06-15,5,CloseFaster,MoreAll,Domain Display,NA,Campaign,3,0,0,138,0
152,2022-08-03,4,UnfairAdvantage,one_page,Domain Display,NA,Campaign,1,0,0,89,0
153,2022-08-04,6,Trade Media Ads,NA,Trade Media,Chrisman,General traffic,1,0,0,88,0
154,2022-09-30,5,UnfairAdvantage,one_page,Domain Display,NA,Campaign,7,0,0,31,0
155,2022-10-14,3,CloseFaster,FasterAll,User ID Display,NA,Campaign,16,0,0,17,0
156,2022-08-11,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,7,0,739.999999999995,81,0
157,2022-09-24,3,CloseFaster,MoreAll,User ID Display,NA,Campaign,9,0,0,37,0
158,2022-04-23,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,4,0,0,191,0
159,2022-05-29,4,CloserTwins,Cutdown1B,LinkedIn,Video,Campaign,1,0,0,155,0
160,2022-09-21,5,CloseFaster,FasterReg,User ID Display,NA,Campaign,25,24,264,40,0
161,2022-10-25,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,2,0,0,6,1
162,2022-07-24,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,0,99,0
163,2022-06-15,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,6,0,313.999999999999,138,0
164,2022-06-13,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,6,0,2158,140,0
165,2022-07-18,6,SEM Ads,We Are America's CDFI,Google SEM,CPC,Campaign,6,0,91,105,0
166,2022-08-04,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0,88,0
167,2022-08-12,3,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,3,0,0,80,0
168,2022-10-11,4,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,1,0,0,20,0
169,2022-09-03,5,CloseFaster,MoreNoReg,User ID Display,NA,Campaign,6,0,0,58,0
170,2022-09-28,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,4,0,17,33,0
171,2022-05-03,4,CloserTwins,Paperwork,LinkedIn,Video,Campaign,1,0,0,181,0
172,2022-07-18,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,7,0,0,105,0
173,2022-08-08,1,UnfairAdvantage,1099,Domain Display,Single image,Campaign,3,0,267.999999999999,84,0
174,2022-05-08,4,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,2,0,0,176,0
175,2022-05-12,2,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,172,0
176,2022-05-22,1,CloseFaster,3steps,Facebook,Single image,Campaign,1,0,0,162,0
177,2022-08-10,1,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0,82,0
178,2022-08-04,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,88,0
179,2022-10-16,4,UnfairAdvantage,NoDTI,Domain Display,NA,Campaign,6,0,0,15,0
180,2022-04-11,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,11,0,53.9999999999999,203,0
181,2022-06-19,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,7,0,0,134,0
182,2022-08-29,5,CloseFaster,3steps,LinkedIn,Single image,Campaign,3,0,115,63,0
183,2022-05-10,2,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,1,0,0,174,0
184,2022-10-14,3,UnfairAdvantage,one_page,User ID Display,NA,Campaign,18,0,0,17,0
185,2022-05-25,5,CloserTwins,Namaste,LinkedIn,Video,Campaign,2,0,69,159,0
186,2022-08-16,2,CloseFaster,FasterAll,User ID Display,NA,Campaign,3,0,0,76,0
187,2022-10-26,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,11,0,331.999999999999,5,1
188,2022-07-01,5,CloserTwins,Faceoff,Domain Display,NA,Campaign,3,0,0,122,0
189,2022-10-26,5,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,20,0,464,5,1
190,2022-06-04,5,CloseFaster,FasterAll,Domain Display,NA,Campaign,6,0,0,149,0
191,2022-06-02,4,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,2,0,0,151,0
192,2022-09-23,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,2,0,0,38,0
194,2022-05-07,1,CloserTwins,Faceoff1,LinkedIn,Video,Campaign,2,0,0,177,0
195,2022-05-20,NA,(not set),NA,NA,NA,General traffic,4512,474,1336978.99999999,164,0
196,2022-08-18,NA,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,1,0,0,74,0
197,2022-07-09,1,CloserTwins,CloseMore,Domain Display,NA,Campaign,2,0,0,114,0
198,2022-07-27,4,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,1,0,0,96,0
199,2022-04-29,4,CloserTwins,Cutdown1B,LinkedIn,Video,Campaign,2,0,0,185,0
200,2022-06-22,2,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0,131,0
201,2022-08-11,2,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,81,0
202,2022-10-03,4,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,8,0,0,28,0
203,2022-09-13,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,40,48,0
204,2022-06-19,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,2,0,0,134,0
205,2022-06-13,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,6,0,908,140,0
206,2022-08-03,4,UnfairAdvantage,1099,User ID Display,Single image,Campaign,4,0,140,89,0
207,2022-07-31,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,9,0,0,92,0
208,2022-09-08,4,UnfairAdvantage,NoDTI,User ID Display,NA,Campaign,28,0,0,53,0
209,2022-04-06,6,Trade Media Ads,ROS1,Trade Media,Housingwire,Campaign,46,0,85.9999999999998,208,0
210,2022-05-14,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,2,0,0,170,0
211,2022-08-09,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,5,0,79,83,0
212,2022-10-02,4,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,29,0
213,2022-10-06,5,CloseFaster,MoreAll,Domain Display,NA,Campaign,2,0,0,25,0
214,2022-09-19,5,UnfairAdvantage,Animated,Domain Display,Animated,Campaign,2,0,0,42,0
215,2022-05-25,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,5,0,524,159,0
216,2022-07-22,4,CloserTwins,Faceoff,Domain Display,NA,Campaign,3,0,0,101,0
217,2022-08-25,2,UnfairAdvantage,1099,User ID Display,Single image,Campaign,4,0,0,67,0
218,2022-05-20,1,CloserTwins,Faceoff2,Facebook,Video,Campaign,1,0,0,164,0
219,2022-09-16,6,SEM Ads,Change Wholesale,Google SEM,CPC,Campaign,106,0,9833.99999999996,45,0
220,2022-07-24,4,UnfairAdvantage,one_page,Domain Display,NA,Campaign,1,0,0,99,0
221,2022-10-07,3,UnfairAdvantage,1099,User ID Display,Single image,Campaign,14,0,0,24,0
222,2022-05-27,1,CloserTwins,CloseMore,Domain Display,NA,Campaign,1,0,0,157,0
223,2022-05-01,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,183,0
224,2022-08-02,2,CloseFaster,FasterAll,User ID Display,NA,Campaign,1,0,0,90,0
225,2022-06-17,2,CloserTwins,Faceoff2,Facebook,Video,Campaign,1,0,0,136,0
226,2022-09-21,1,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0,40,0
227,2022-05-23,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0,161,0
228,2022-07-01,6,CloserTwins,RTB,Trade Media,Inside_mortgage_finance_newsletter,Campaign,5,0,0,122,0
229,2022-07-02,3,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0,121,0
230,2022-05-26,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0,158,0
231,2022-08-02,NA,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,2,0,21,90,0
232,2022-07-10,3,UnfairAdvantage,1099,Domain Display,Single image,Campaign,2,0,44,113,0
233,2022-10-11,4,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,36,0,0,20,0
234,2022-08-23,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,2,0,16,69,0
235,2022-09-02,1,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,2,0,0,59,0
236,2022-08-21,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,4,0,0,71,0
237,2022-04-20,4,CloserTwins,MoreLoans,LinkedIn,Video,Campaign,2,0,0,194,0
238,2022-06-12,1,UnfairAdvantage,NoDTI,LinkedIn,Single image,Campaign,1,0,0,141,0
239,2022-06-05,1,UnfairAdvantage,All,Facebook,Carousel,Campaign,1,0,0,148,0
240,2022-10-22,5,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,16,0,4,9,1
241,2022-05-21,3,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0,163,0
242,2022-05-27,1,CloserTwins,Cutdown1B,LinkedIn,Video,Campaign,1,0,0,157,0
243,2022-08-21,2,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,2,0,0,71,0
244,2022-09-08,4,CloserTwins,Competitors,Domain Display,NA,Campaign,2,0,0,53,0
245,2022-05-05,5,UnfairAdvantage,1099,LinkedIn,Single image,Campaign,3,0,0,179,0
246,2022-08-29,NA,August,August,NA,NA,General traffic,7,0,50,63,0
247,2022-05-06,1,CloserTwins,ShapeUp,LinkedIn,Video,Campaign,1,0,0,178,0
248,2022-05-11,6,CloserTwins,OTT_30QR,OTT,Video,Campaign,2,0,0,173,0
249,2022-06-12,1,CloserTwins,Cutdown1A,Facebook,Video,Campaign,2,0,0,141,0
250,2022-07-28,1,UnfairAdvantage,NoDTI,Facebook,Single image,Campaign,1,0,0,95,0
251,2022-04-27,4,UnfairAdvantage,All,LinkedIn,Carousel,Campaign,5,0,0,187,0
252,2022-08-24,3,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0,68,0
253,2022-10-27,NA,(not set),NA,NA,NA,General traffic,2835,394,1225943.99999999,4,1
254,2022-05-17,4,UnfairAdvantage,1099,Domain Display,Single image,Campaign,1,0,0,167,0
255,2022-05-09,3,CloserTwins,Cutdown1A,LinkedIn,Video,Campaign,2,0,275,175,0
256,2022-05-31,1,UnfairAdvantage,one_page,LinkedIn,Single image,Campaign,1,0,0,153,0
257,2022-08-04,4,CloseFaster,3steps,LinkedIn,Single image,Campaign,3,0,0,88,0
258,2022-06-30,NA,(not set),NA,NA,NA,General traffic,2664,406,747411.999999999,123,0
259,2022-06-14,4,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,139,0
260,2022-09-23,2,CloseFaster,MoreAll,User ID Display,NA,Campaign,7,0,0,38,0
261,2022-08-20,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,5,0,0,72,0
262,2022-04-20,1,CloserTwins,Faceoff1,LinkedIn,Video,Campaign,1,0,0,194,0
263,2022-07-17,5,UnfairAdvantage,NoDTI,Domain Display,Single image,Campaign,13,0,1560.99999999999,106,0
264,2022-10-25,3,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,1,0,0,6,1
265,2022-10-19,4,UnfairAdvantage,1099,Domain Display,NA,Campaign,74,0,2245.99999999999,12,1
266,2022-07-27,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,3,0,0,96,0
267,2022-06-02,1,CloserTwins,Faceoff,Domain Display,NA,Campaign,1,0,0,151,0
268,2022-05-09,1,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,175,0
269,2022-05-01,3,CloserTwins,Cutdown1A,Domain Display,Video,Campaign,1,0,0,183,0
270,2022-08-15,3,UnfairAdvantage,NoDTI,User ID Display,Single image,Campaign,8,0,2,77,0
271,2022-07-03,5,CloserTwins,MoreLoansAll,Domain Display,NA,Campaign,5,0,0,120,0
272,2022-04-29,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,1,0,0,185,0
273,2022-10-04,1,CloserTwins,MoreLoansAll,User ID Display,NA,Campaign,25,0,0,27,0
274,2022-07-24,3,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,0,99,0
275,2022-09-02,NA,CloserTwins,Faster,Domain Display,NA,Campaign,1,0,0,59,0
276,2022-06-24,5,CloserTwins,EarlyBird,LinkedIn,Single image,Campaign,1,0,27,129,0
277,2022-07-10,3,CloserTwins,Cutdown1B,Domain Display,Video,Campaign,1,0,0,113,0
278,2022-09-08,5,CloseFaster,FasterReg,User ID Display,NA,Campaign,34,32,378.999999999999,53,0
279,2022-08-12,4,CloseFaster,NoDTI,LinkedIn,Single image,Campaign,3,0,0,80,0
